year,month,long,neutral,short,strategy,rf,mkt_rf,cumul_strategy,cumul_market,cum_return,running_max,drawdown
2020,1,-0.02610797200714286,-0.015126992424231678,-0.0027460189966666696,-0.017451774706,0.0013,-0.001628,0.982548225294,0.998372,0.982548225294,0.982548225294,0.0
2020,2,-0.09833665743714286,-0.08580182211088756,-0.045187000016666666,-0.055279560201,0.0012,-0.08411,0.9282333915234746,0.91439893108,0.9282333915234746,0.982548225294,0.055279560201
2020,3,-0.1765976207542857,-0.19690258887850356,-0.15632530339,-0.07672074351099999,0.0013,-0.125119,0.8570186355740564,0.7999902512222016,0.8570186355740564,0.982548225294,0.12775921475241825
2020,4,0.12279130839714286,0.14936437636507394,0.25093420257,0.01067365510700001,0.0,0.126844,0.8661661569104455,0.9014642146482305,0.8661661569104455,0.982548225294,0.1184492174404268
2020,5,0.04229753676571429,0.07062711733406214,0.17166321575000001,-0.021890688989000005,0.0001,0.045282,0.8472051829567215,0.9422843172159316,0.8472051829567215,0.982548225294,0.13774697144944803
2020,6,0.010729557019999999,0.018820229547516932,0.10389651921333334,-0.023658265850000002,0.0001,0.018388,0.8271617775088336,0.9596110412408982,0.8271617775088336,0.982548225294,0.15814638282886462
2020,7,0.048536865144285714,0.047870922422159734,0.054109712196666666,0.017742891942,0.0001,0.055101,0.8418380195457255,1.012486569224313,0.8418380195457255,0.982548225294,0.14320946506841525
2020,8,0.042764537055714286,0.04583871444587571,0.12792359813333334,-0.008441903501000006,0.0001,0.070065,0.8347313042212474,1.0834264406970147,0.8347313042212474,0.982548225294,0.15044240808487797
2020,9,-0.037730138108571426,-0.025292184760646597,0.05982651797,-0.044359052067,0.0001,-0.039228,0.7977034148353424,1.040925788281352,0.7977034148353424,0.982548225294,0.18812797753855592
2020,10,0.0026470573228571425,0.009339500465251397,-0.0084545252,0.004389297685999999,0.0001,-0.027666,0.8012047725881934,1.0121275354227601,0.8012047725881934,0.982548225294,0.18456442954903773
2020,11,0.12438586838142857,0.14836676347196887,0.27162282872,0.005583259251000006,0.0001,0.107546,0.8056781065466917,1.120977803347336,0.8056781065466917,0.982548225294,0.1800116413567231
2020,12,0.045539878535714284,0.062099175361538465,0.04380091284333334,0.018737641121999996,0.0001,0.037121,0.820774613767016,1.1625896203853925,0.820774613767016,0.982548225294,0.16464699376824765
2021,1,-0.020223194075714285,0.011778589019247788,0.12324428206666667,-0.051129520473,0.0001,-0.011137,0.7788088013486967,1.1496418597831604,0.7788088013486967,0.982548225294,0.20735819240255615
2021,2,0.06103956646857143,0.0557800618083878,-0.06324697296333333,0.061701788417,0.0,0.026091,0.8268626972268113,1.1796371655467628,0.8268626972268113,0.982548225294,0.1584507752997103
2021,3,0.08090251173571429,0.02833407890892274,-0.10272918729333333,0.087450514403,0.0,0.042439,0.899172265439948,1.2296997872154016,0.899172265439948,0.982548225294,0.0848568627042241
2021,4,0.05071665032285714,0.041255251043369565,-0.020337178296666664,0.041602808714999995,0.0,0.052425,0.9365803572008794,1.294166798560169,0.9365803572008794,0.982548225294,0.04678433781646285
2021,5,0.02470452437142857,0.006528266401923076,-0.13152592281666667,0.056750943905000004,0.0,0.005487,0.9897321765149114,1.3012678917838687,0.9897321765149114,0.9897321765149114,0.0
2021,6,-0.003769476707142857,0.010329776394206009,0.15462781855333332,-0.049026979261,0.0,0.022214,0.9412085976229705,1.3301742567319554,0.9412085976229705,0.9897321765149114,0.04902697926099997
2021,7,0.0033765468585714277,-0.0027536766458377236,-0.10297237137666666,0.033255294213999996,0.0,0.022748,0.9725087664536688,1.360433060724094,0.9725087664536688,0.9897321765149114,0.01740209166674811
2021,8,0.003925407151428572,0.021011192438643442,0.00283482007,0.001897338985,0.0,0.02899,0.9743539452495157,1.3998720151544854,0.9743539452495157,0.9897321765149114,0.015537770348687863
2021,9,-0.04094227437142857,-0.03394985137939646,-0.0584015782,-0.011139118599999998,0.0,-0.047569,0.9635005010950034,1.3332815032656018,0.9635005010950034,0.9897321765149114,0.026503811881994355
2021,10,0.04199880442142857,0.051781326452124354,0.07029643278666667,0.008310233258999999,0.0,0.069144,0.9715074150042662,1.4254699195273988,0.9715074150042662,0.9897321765149114,0.018413831481986387
2021,11,-0.01204536291857143,-0.03526763904409044,-0.17720518433,0.044729801256,0.0,-0.008334,1.0149627485961374,1.4135900532180574,1.0149627485961374,1.0149627485961374,0.0
2021,12,0.06540029377714286,0.0400020722054359,-0.10030958016000001,0.07587307969200001,0.0001,0.043613,1.0919710981047834,1.4752409562090565,1.0919710981047834,1.0919710981047834,0.0
2022,1,-0.044785039504285716,-0.06838249949131313,-0.21128811179666668,0.03203690588600001,0.0,-0.052585,1.1269544734049983,1.3976654105268032,1.1269544734049983,1.1269544734049983,0.0
2022,2,-0.007401815268571427,0.002993361747,-0.014817259483333334,-0.0007360928429999986,0.0,-0.031361,1.126124930282738,1.353833225587272,1.126124930282738,1.1269544734049983,0.0007360928430000246
2022,3,0.014942328482857141,0.01837751386186186,-0.03981216168333333,0.022403278442999996,0.0001,0.035773,1.151353820657466,1.4022639015662055,1.151353820657466,1.151353820657466,0.0
2022,4,-0.033433530751428575,-0.08161625617034068,-0.24976078661,0.051524764456999994,0.0001,-0.087957,1.210677055073509,1.278924975576147,1.210677055073509,1.210677055073509,0.0
2022,5,0.024112408862857142,0.005416146268855722,-0.13544752947333333,0.05751294504599999,0.0003,5.3e-05,1.2803066580104048,1.2789927585998526,1.2803066580104048,1.2803066580104048,0.0
2022,6,-0.07743872781571429,-0.09204825098226871,-0.13543266964666667,-0.013577308577,0.0006,-0.08392,1.2629235394414098,1.171659686298153,1.2629235394414098,1.2803066580104048,0.013577308577000125
2022,7,0.08320777998428572,0.0961456944734714,0.17655028738333334,0.005280359774000001,0.0008,0.091116,1.269592230096714,1.2784166302748954,1.269592230096714,1.2803066580104048,0.008368641877049221
2022,8,-0.027125223924285714,-0.0305347176376494,0.03703848168,-0.030099201250999998,0.0019,-0.04244,1.231378518056327,1.2241606284860287,1.231378518056327,1.2803066580104048,0.038215953691994375
2022,9,-0.08806823984285715,-0.09437595946854599,-0.13925380737333332,-0.019871625678000007,0.0019,-0.093396,1.2069090250775814,1.1098289224279476,1.2069090250775814,1.2803066580104048,0.05732816624329928
2022,10,0.11348510736142857,0.09298113391871286,-0.030449487733333336,0.088574421473,0.0023,0.079863,1.3138102937443705,1.1984631896598108,1.3138102937443705,1.3138102937443705,0.0
2022,11,0.06457034147857142,0.05077680728028169,-0.021693459186666667,0.05170727679099999,0.0029,0.053753,1.3817438462538758,1.2628841814935945,1.3817438462538758,1.3817438462538758,0.0
2022,12,-0.04736307109571428,-0.05814740656402878,-0.15517845096333333,0.013399385521999999,0.0033,-0.058971,1.4002583647424827,1.1884106384267357,1.4002583647424827,1.4002583647424827,0.0
2023,1,0.09922672306142856,0.08152938497320873,0.10553881091333334,0.03779706286899998,0.0035,0.061753,1.4531840181874975,1.2617985605815019,1.4531840181874975,1.4531840181874975,0.0
2023,2,-0.021318105925714283,-0.025825555510191084,-0.05074661885,0.0003013115070000013,0.0034,-0.026112,1.4536218792539661,1.2288504765675976,1.4536218792539661,1.4536218792539661,0.0
2023,3,-0.019324361627142857,-0.01992735639892704,-0.02656384412666667,-0.005557899900999998,0.0036,0.035052,1.445542794355169,1.271924143472245,1.445542794355169,1.4536218792539661,0.005557899900999974
2023,4,-0.02108805930285714,-0.009667096348590021,-0.01746246586,-0.009522901753999998,0.0035,0.014642,1.4317770323433223,1.2905476567809657,1.4317770323433223,1.4536218792539661,0.015027874320284074
2023,5,-0.0013297542628571426,-0.027470364544064173,0.01821309173666667,-0.006394755505,0.0036,0.002482,1.4226211682838124,1.2937507960650962,1.4226211682838124,1.4536218792539661,0.021326530243245934
2023,6,0.0834432117342857,0.07968559734244916,0.06727195444333334,0.03822866188099999,0.004,0.064728,1.4770060719108873,1.3774926975927977,1.4770060719108873,1.4770060719108873,0.0
2023,7,0.035568341877142855,0.038079896884294875,0.07718153629333332,0.0017433784259999995,0.0045,0.031139,1.4795810524317277,1.4203864427031399,1.4795810524317277,1.4795810524317277,0.0
2023,8,-0.04981689002,-0.03790440985450597,-0.07414612826,-0.012627984536,0.0045,-0.017716,1.4608969257818611,1.3952228764842112,1.4608969257818611,1.4795810524317277,0.012627984536000003
2023,9,-0.07120157577714285,-0.055606055892584515,-0.06433247308333333,-0.030541361118999997,0.0043,-0.048719,1.4162791452139205,1.327249013164777,1.4162791452139205,1.4795810524317277,0.04278366981908077
2023,10,-0.07182808085999999,-0.05500144450496689,-0.07267085926666667,-0.02847839882199999,0.0047,-0.02198,1.3759457828732373,1.2980760798554152,1.3759457828732373,1.4795810524317277,0.07004365822890424
2023,11,0.13876986222857143,0.08745954026937432,0.09759557710999998,0.06786023042700001,0.0044,0.089179,1.469317780754074,1.413837206580841,1.469317780754074,1.4795810524317277,0.0069366065892677575
2023,12,0.08950397949714285,0.08158719580657016,0.12697605709999998,0.024559968518,0.0043,0.044229,1.5054041791923318,1.4763698123907052,1.5054041791923318,1.5054041791923318,0.0
