year,month,long,neutral,strategy,rf,mkt_rf,cumul_strategy,cumul_market,cum_return,running_max,drawdown
2020,1,-0.023987789122,-0.015075875831696428,-0.023987789122,0.0013,-0.001628,0.976012210878,0.998372,0.976012210878,0.976012210878,0.0
2020,2,-0.10050290761399999,-0.08459951991519554,-0.10050290761399999,0.0012,-0.08411,0.8779201458179925,0.91439893108,0.8779201458179925,0.976012210878,0.10050290761400005
2020,3,-0.16844392191000002,-0.19553965952320626,-0.16844392191000002,0.0013,-0.125119,0.7300398333326107,0.7999902512222016,0.7300398333326107,0.976012210878,0.25201772560213953
2020,4,0.125672395754,0.15191720635317546,0.125672395754,0.0,0.126844,0.8217856881833707,0.9014642146482305,0.8217856881833707,0.976012210878,0.15801700119703466
2020,5,0.0415597403,0.07334896843786724,0.0415597403,0.0001,0.045282,0.8559388879665285,0.9422843172159316,0.8559388879665285,0.976012210878,0.12302440642976809
2020,6,0.008665689158000001,0.021484405436965812,0.008665689158000001,0.0001,0.018388,0.8633561883078905,0.9596110412408982,0.8633561883078905,0.976012210878,0.11542480853673598
2020,7,0.057998713977999994,0.04758060304621938,0.057998713977999994,0.0001,0.055101,0.9134297369346962,1.012486569224313,0.9134297369346962,0.976012210878,0.06412058501502349
2020,8,0.042755317416,0.04840718925315508,0.042755317416,0.0001,0.070065,0.9524837152745526,1.0834264406970147,0.9524837152745526,0.976012210878,0.024106763564240352
2020,9,-0.03874735174,-0.0228046845531151,-0.03874735174,0.0001,-0.039228,0.9155774937321874,1.040925788281352,0.9155774937321874,0.976012210878,0.061920042057103775
2020,10,-0.004265274092000001,0.008998703574179893,-0.004265274092000001,0.0001,-0.027666,0.9116723047689533,1.0121275354227601,0.9116723047689533,0.976012210878,0.06592121019794195
2020,11,0.11663784077200001,0.15216598943203372,0.11663784077200001,0.0001,0.107546,1.0180077938888368,1.120977803347336,1.0180077938888368,1.0180077938888368,0.0
2020,12,0.038313148476,0.061551342933790915,0.038313148476,0.0001,0.037121,1.057010877645825,1.1625896203853925,1.057010877645825,1.057010877645825,0.0
2021,1,-0.013628900476,0.014267289700104822,-0.013628900476,0.0001,-0.011137,1.0426049815923406,1.1496418597831604,1.0426049815923406,1.057010877645825,0.013628900475999961
2021,2,0.06160095230800001,0.052170877674173555,0.06160095230800001,0.0,0.026091,1.1068304413394938,1.1796371655467628,1.1068304413394938,1.1068304413394938,0.0
2021,3,0.08738761445399999,0.025026767799071207,0.08738761445399999,0.0,0.042439,1.2035537132132201,1.2296997872154016,1.2035537132132201,1.2035537132132201,0.0
2021,4,0.032764024972,0.04047080400515463,0.032764024972,0.0,0.052425,1.2429869771280815,1.294166798560169,1.2429869771280815,1.2429869771280815,0.0
